,long,lat,City,Country,Date,Cloudiness,Humidity,Max Temp,Wind Speed
152,-12.020718415279987,9.704365139349136,kamakwie,sl,1600201708,99,96,74.41,5.55
154,159.65473985823166,26.552132938849937,hasaki,jp,1600201708,75,100,68.0,6.93
156,-64.57786741301138,-23.391453053151693,san ramon de la nueva oran,ar,1600201709,95,46,77.0,1.99
157,-86.27661847182662,31.53659407710434,troy,us,1600201481,1,49,71.6,9.17
158,107.9410511217165,88.98775973763316,khatanga,ru,1600201340,100,90,47.7,5.03
160,-60.99254832946585,31.108978820140365,saint george,bm,1600201347,1,10,95.0,4.21
161,88.10216129489277,-25.13495397107225,carnarvon,au,1600201709,0,100,64.4,13.87
164,-125.90404639622847,11.596343710966451,constitucion,mx,1600201346,100,81,55.13,4.7
168,158.76585773044332,-77.70965198726434,bluff,nz,1600201343,100,78,45.0,13.0
169,-21.489913555263854,55.12926504861392,vestmannaeyjar,is,1600201710,53,70,47.7,9.08
171,147.3347646922153,2.1650057640364224,lorengau,pg,1600201710,100,76,82.18,7.83
182,-50.7007982749318,79.72842115390276,upernavik,gl,1600201711,0,84,28.56,10.94
183,11.430990761672717,-1.4555417655365375,mimongo,ga,1600201711,100,90,71.55,4.9
187,-28.702134945454475,-40.29356030712725,arraial do cabo,br,1600201340,40,78,75.2,14.99
191,16.888168546944513,50.89797136096993,strzelin,pl,1600201711,0,82,69.01,6.93
192,26.75781121936754,50.83429375409045,hoshcha,ua,1600201712,0,77,61.45,0.67
193,-53.60161011275751,26.15473449586605,codrington,ag,1600201712,100,88,43.74,8.55
194,136.1709469413887,66.44871810171819,batagay,ru,1600201712,0,91,35.2,2.33
195,-140.3927243415248,30.944989463160965,hilo,us,1600201112,40,62,84.2,3.36
196,179.39136473969188,88.37545368181284,leningradskiy,ru,1600201712,100,92,38.73,10.49
197,41.549456047391146,15.237693202474802,edd,er,1600201713,29,66,89.35,5.88
198,94.84208694312645,19.89520959100571,magway,mm,1600201713,100,87,77.79,4.29
199,86.91754284223663,25.958777600762787,murliganj,in,1600201713,100,86,78.64,5.37
200,-70.94000230312517,48.376246223983685,bagotville,ca,1600201713,33,93,55.99,5.55
203,75.5003067509194,-51.46455081881224,souillac,mu,1600201337,75,82,64.4,12.75
204,156.59037955341273,-11.833322378531037,gizo,sb,1600201713,100,82,80.11,9.71
205,140.52733109979772,0.8196353421453466,vanimo,pg,1600201714,100,79,77.65,4.09
206,156.92631976653087,1.7848431500331685,namatanai,pg,1600201714,99,86,77.94,8.66
207,116.7924387340642,69.5150625276373,saskylakh,ru,1600201714,65,80,43.95,5.3
208,-53.51690845548028,-5.785146652113326,sao felix do xingu,br,1600201714,100,16,100.62,5.1
213,6.420297130757206,-13.72703713248481,namibe,ao,1600201715,7,80,61.88,8.99
216,-84.66381348332983,38.53722148721408,georgetown,us,1600201341,20,88,78.8,1.12
217,-128.16460217763472,15.579323160450684,guerrero negro,mx,1600201715,0,28,89.06,11.16
220,53.16526408373841,-71.07463762453567,east london,za,1600201639,100,72,61.7,11.41
223,-14.137356060164677,29.158915936372082,tias,es,1600201715,20,61,77.0,2.24
224,151.6597826688165,7.103253348119139,kavieng,pg,1600201715,94,77,82.24,15.48
227,92.05937053889312,26.379678050285335,mangaldai,in,1600201716,99,91,76.89,3.4
230,33.56094927467271,50.35707589302564,sencha,ua,1600201716,3,90,59.88,5.35
232,55.487426780883396,14.672474576753046,salalah,om,1600201716,40,88,80.6,3.36
233,-105.46673336796049,25.951216487658087,santa maria del oro,mx,1600201716,56,63,72.97,5.95
234,-110.82537663977567,14.845511040522794,san patricio,mx,1600201717,68,69,86.49,9.22
239,52.63434271933036,68.85399906599528,naryan-mar,ru,1600201717,85,89,46.74,13.27
241,18.485078689854873,27.831128583361448,waddan,ly,1600201717,0,34,82.45,8.39
242,80.80881797926634,18.05852487848267,bhadrachalam,in,1600201718,22,92,77.94,2.33
243,-108.08419998917032,47.47690005083763,lewistown,us,1600201718,1,42,66.0,2.37
245,122.39423588352923,-37.9064857565858,esperance,au,1600201346,90,93,59.0,14.99
247,70.35973339610672,-58.69321194736038,saint-philippe,re,1600201718,40,68,64.4,8.05
248,110.7976891122234,32.18357375548527,shiyan,cn,1600201718,96,74,69.03,2.08
249,136.76518277838795,-9.61344201434514,nhulunbuy,au,1600201719,2,94,71.6,10.87
252,20.82538100749477,-8.189470875486577,lucapa,ao,1600201563,4,66,72.19,2.8
254,-36.82620848528887,52.95902479218827,nanortalik,gl,1600201719,100,87,43.09,21.59
256,102.70922240392736,47.21012245046157,bulgan,mn,1600201658,0,81,37.69,1.41
257,91.65957897068097,57.85715522534153,pirovskoye,ru,1600201719,81,91,48.43,7.34
258,124.24370205697971,25.848777539482995,hirara,jp,1600201720,72,78,83.66,10.6
259,43.79763481662047,34.879809403894654,tikrit,iq,1600201720,0,15,90.54,9.46
